heartbeat,temperature,spo2,heat_illness_risk
56,36.2,95.3,0
84,36.4,96,3.2
86,36.3,97.2,0
94,36.7,96.4,11.4
99,37,91.1,29.5
106,37.3,95.8,28.2
102,36.3,95.4,7.8
96,36.2,95.2,4.4
98,36.6,98.6,6.2
88,36.6,95.4,9.6
81,36.7,92.1,16.1
79,36.8,97.2,7.3
72,36.1,97.3,0
67,36.6,98.4,0
65,36.5,96.1,0
62,36.8,95.8,5
60,36.6,96.9,0
64,36.4,93.2,2.8
65,35.9,95.8,0
74,36.2,94.9,0
72,36.3,97.1,0
70,36.9,97.7,5.6
70,36.7,98.9,0
71,36.5,96.3,0.7
71,36.6,97.1,1.1
77,36.5,95.9,3.3
78,36.6,99.4,0
90,36.8,97.3,10.4
83,36.6,98.6,1.7
79,36.6,99.3,0
79,36.4,96.6,0.5
81,36.5,99.3,0
83,36.5,90.1,16.7
80,36.3,99,0
84,36.6,97.5,4.2
80,36.7,97.4,5.2
81,36.8,99.5,3.3
90,35.9,99,0
58,36.7,98.8,0
85,36.4,97,1.5
82,36.6,99.4,0
81,36.3,99,0
85,36.2,97.5,0
92,36.4,99.9,0
100,36.5,98.3,5.4
114,36.5,98.4,9.4
95,36.7,99.6,5.3
105,36.2,96.8,3.9
98,36.3,97.9,1.6
102,36,98.8,0
101,35.7,99.7,0
83,36.7,96.1,8.7
97,36.9,97.9,13.3
85,36.7,99,3.5
114,36.1,97.8,2.6
99,36.8,97.5,12.7
78,36.4,98.8,0
61,36.7,99.6,0
86,37.4,99.7,16.4
92,36.6,98.4,4.8
94,36.4,99.6,0
99,36.5,98.2,5.3
107,36.7,90.8,26.5
103,36.6,96.5,11.9
108,36,99.2,0
98,36.1,97.4,0
96,36.5,95.9,9
100,36.8,97.5,13
96,36.6,96.5,9.8
106,36.6,96.9,12
108,36.6,96.2,14
107,36.7,95.3,17.5
98,36.9,98.2,13
113,36,97.6,0.7
115,36.5,99.2,8.1
100,36.1,96.2,1.6
81,36.3,96.8,0
91,36.5,99.9,0
93,36.4,98.6,0.7
94,36.4,96.4,5.4
112,36.4,96.1,11.4
115,36.7,99.9,10.7
99,36.5,97.6,6.5
106,36.3,96.7,6.4
108,36.6,95.6,15.2
115,36.1,99.4,0
105,36.8,99.3,10.9
100,36.6,95.7,12.6
101,36.6,99.7,4.9
107,37.2,97.9,22.3
64,36.6,98.8,0
86,36.5,98.7,0.4
103,36.4,97,6.9
107,36.3,99.2,1.7
86,36.2,98.5,0
82,36.6,95.5,7.6
101,36.6,95.6,13.1
114,36.5,98.3,9.6
104,36.7,98.7,9.8
108,36.7,98.7,11
98,36.4,98,3.4
106,36,97,0
110,36.4,97.9,7.2
84,36.7,99,3.2
102,36.5,96.5,9.6
80,36.6,95.2,7.6
77,36.6,99.8,0
90,36.8,99.3,6.4
87,36.3,99.7,0
92,36.2,98.3,0
94,36.6,99.3,3.6
83,36.5,88.9,19.1
91,36.1,95.6,0.1
88,36.2,99.6,0
92,36.7,99.9,3.8
94,36.7,95.7,12.8
95,36.7,95.6,13.3
94,36.4,99.4,0
94,36.8,95.8,14.6
84,36.5,96.5,4.2
91,37.2,99.6,14.1
84,36.4,95.1,5
82,36.4,96.5,1.6
91,36.4,98.3,0.7
93,36.1,98.7,0
88,36.4,97.6,1.2
92,36.3,95.2,5.2
80,36.5,99.4,0
80,36.2,97.9,0
91,36.6,99.3,2.7
93,36.4,97.6,2.7
94,36.1,97.7,0
83,36.2,96.8,0
77,36.5,99.1,0
76,36.3,96.6,0
83,36.3,95.2,2.5
91,35.8,97.3,0
89,36.1,98,0
81,36,98.6,0
77,36.7,98.1,2.9
80,36.5,96.8,2.4
62,36.8,99.4,0
72,36.6,99.2,0
79,36.1,99.8,0
84,36.6,98,3.2
91,35.8,98.3,0
94,36.7,96.9,10.4
94,36.4,99.1,0
88,36.3,97.4,0
92,36.5,98.5,2.6
94,36.1,97,0
65,36.4,98.4,0
86,36.9,97.4,11
78,36.6,96.4,4.6
90,36.6,99.3,2.4
93,36.3,97.4,1.1
92,36.6,95.5,10.6
87,36.8,98,8.1
92,36.5,99.5,0.6
94,36.9,97.8,12.6
100,36.8,95.1,17.8
86,34.8,98.8,0
82,36.4,98,0
79,36.4,99.4,0
76,36,97.6,0
89,37,96.3,16.1
93,36.8,96.1,13.7
94,36.8,96.1,14
84,36.5,99.8,0
82,36.2,95.7,0
79,36.2,96.9,0
90,36.6,98.6,3.8
80,36.1,95.8,0
73,36.7,97,3.9
83,36,99.7,0
81,34.6,96.8,0
85,36.8,99.7,4.1
78,36,96.1,0
79,36,99.9,0
76,36.5,96.8,1.2
90,36.4,99.2,0
103,36,97.1,0
96,36.8,97.3,12.2
81,36.5,98.6,0
91,36.9,99.5,8.3
93,36.4,95.9,6.1
84,36.8,96.2,10.8
91,36.4,96.7,3.9
94,36.5,98.2,3.8
81,36.1,96.2,0
114,36.6,95.1,18
90,35.5,97.3,0
106,36.2,98,1.8
101,36.1,96.1,2.1
94,36.5,95.2,9.8
94,36.6,96.4,9.4
91,37.1,97.1,17.1
98,36.6,95.2,13
99,36.7,95.7,14.3
109,36.3,96.2,8.3
110,36.7,95.2,18.6
99,36.4,98,3.7
100,36.1,90.1,13.8
91,36.5,99.9,0
84,36.6,94.8,9.6
91,36.1,98.6,0
81,36.2,97.7,0
77,36.2,97.8,0
89,37.1,95.5,19.7
87,36.6,96.9,6.3
75,37.3,99.5,11.5
79,36.8,99.2,3.3
84,36.2,99.2,0
91,36.7,96.6,10.1
84,36.8,95.5,12.2
78,36.7,99.1,1.2
80,36.2,97.4,0
90,36.9,96.7,13.6
94,36.6,95.1,12
84,36.6,96.4,6.4
86,36.2,99.1,0
92,36.5,98.5,2.6
93,36.2,95.8,2.3
84,36.5,98.4,0.4
94,36.9,99.9,8.4
94,36.5,95.5,9.2
94,36.9,97.8,12.6
105,36.6,97.6,10.3
98,36.6,99.4,4.6
106,36.6,97.2,11.4
98,36.6,96.1,11.2
95,36.8,98.2,10.1
94,36.3,95.3,5.6
94,35.9,98.4,0
80,35.6,97.2,0
99,36.5,99,3.7
95,36.3,98.4,0
60,36.2,97.1,0
90,36.2,95.9,1.2
104,36.5,99.1,5
87,36,100,0
102,36.3,96.5,5.6
101,36.7,99.4,7.5
96,36.1,96.6,0
100,36.6,98.6,6.8
96,36.6,97.7,7.4
80,36.7,97.4,5.2
73,36.4,96.3,0
100,36.2,98.4,0
79,36.7,97.6,4.5
103,36.4,97.9,5.1
97,36.4,98.1,2.9
113,36.6,95.8,16.3
99,36.8,94.2,19.3
106,36.3,98.3,3.2
115,36.9,97.8,18.9
86,36.4,99.7,0
104,36.9,96.9,17.4
114,36.2,95.2,9.8
100,36.3,97.7,2.6
107,36.4,99.3,3.5
98,36.1,97.3,0
113,36.1,97.1,3.7
99,36.3,99.4,0
96,36.5,95.6,9.6
81,36.7,96.6,7.1
57,36.8,95,5.1
84,36.2,96.1,0
114,37,97.1,22
110,36.6,97.4,12.2
84,36.4,97,1.2
91,36.3,95.7,3.9
111,36.3,95.3,10.7
116,36.1,96.3,6.2
100,36.4,99.5,1
96,36.3,97.8,1.2
85,36.5,98.8,0
92,36.2,97.1,0
93,36.5,95.8,8.3
88,36.3,90.2,14
83,36.8,99.2,4.5
66,36.9,97.1,5.6
77,36.3,95.1,0.9
55,36.3,99.8,0
62,36.4,99.8,0
85,36.2,96.3,0
70,37.1,95.6,13.8
88,36.9,97.4,11.6
92,36.4,96.4,4.8
93,36.1,95.3,1.3
80,36.4,87.2,19.6
73,36.3,92.6,4.7
89,37,98.3,12.1
70,36.5,96.2,0.6
76,36.4,95.5,1.8
80,36.3,93,6
81,36.2,97,0
85,36.6,97.7,4.1
88,36.2,98.4,0
75,36.6,90,16.5
72,36.7,98,1.6
73,36.3,99.6,0
71,36.2,97,0
70,36.3,97.6,0
59,36.1,95.2,0
74,37.1,95.4,15.4
55,36.2,94.5,0
67,36.6,98.3,0
58,36.5,99.8,0
75,36.4,91.5,9.5
81,34.3,99.3,0
81,36.7,99.6,1.1
81,36.5,93.2,9.9
81,36.9,97.1,10.1
81,36.4,97.4,0
81,36.1,97.9,0
81,36.1,97.5,0
80,36.3,92.5,7
81,36.8,99.3,3.7
80,36.3,98,0
90,36.5,96.3,6.4
93,36.6,97.8,6.3
84,36.7,96.6,8
75,36.7,98.6,1.3
72,36.2,95.4,0
111,36.7,99.1,11.1
98,36.6,96.7,10
86,36.9,95.2,15.4
82,36.7,95.2,10.2
81,36.5,97.2,1.9
81,36.2,94.9,0.5
81,36.5,95.5,5.3
81,36.8,98.4,5.5
91,36.1,97,0
93,36.5,96.5,6.9
80,36.7,99.4,1.2
90,36.6,99.3,2.4
83,36.9,95.8,13.3
82,36.4,95.7,3.2
62,36.6,98.9,0
72,37,98.7,6.2
88,36.6,97,6.4
93,36.3,98.9,0
77,36.1,99.1,0
67,36.1,99,0
84,36.2,96.9,0
102,36.5,99.4,3.8
82,36.6,87.8,23
85,36.7,99.5,2.5
82,36.5,92.9,10.8
89,36.3,96,2.7
82,36.4,96.8,1
81,36.1,96.3,0
81,36.5,92.1,12.1
81,36.5,98.6,0
91,36.9,99,9.3
79,36.7,97.6,4.5
96,36.2,98.1,0
95,36.7,95.1,14.3
80,36.6,97.7,2.6
79,36.4,97.1,0
90,36.4,95.8,5.4
80,36.5,98.7,0
90,36.7,99.9,3.2
93,36.9,97.7,12.5
84,36.7,94.5,12.2
82,36.6,95.5,7.6
81,36.9,99.4,5.5
93,36.3,96.1,3.7
88,37,98.3,11.8
83,36.4,97.6,0
81,36.3,95.5,1.3
81,36.4,99.2,0
77,36.7,97.9,3.3
72,36.2,98.4,0
88,37,96.7,15
79,36.4,99,0
90,36.7,98.4,6.2
83,36.6,98.4,2.1
82,36.6,97,4.6
77,36.3,97.8,0
89,36.7,95.4,11.9
80,36.5,98.2,0
91,36.9,96,15.3
116,36.4,99.1,6.6
100,36.7,95.5,15
96,36.3,96.4,4
85,36,96.4,0
78,36.4,92.1,9.2
107,36.4,97.6,6.9
97,36.7,99,7.1
85,36.7,98.2,5.1
91,36.6,95.9,9.5
93,36.3,99.4,0
94,36,98.9,0
84,36.7,99.1,3
91,36.7,96.7,9.9
80,36.7,95.6,8.8
81,36.8,90.4,21.5
91,36.1,90.2,10.9
84,36.5,95.9,5.4
77,36.5,95.1,4.9
80,36.6,98,2
81,36.4,99.5,0
91,36.1,100,0
59,36.7,94.2,5.3
86,37.1,99.9,10
92,37,96.5,16.6
77,36.7,97.8,3.5
83,36.9,98.5,7.9
81,36.4,98.5,0
85,36.7,96.5,8.5
82,36.8,99.6,3.4
80,36.6,99.8,0
91,36.7,97.6,8.1
84,36.3,96.4,0.4
77,36.6,99.6,0
84,37.2,96.7,17.8
85,36.5,96.5,4.5
82,36.3,96.8,0
91,36,96.8,0
84,36,98.9,0
78,36.7,95.3,8.8
80,36.8,95.8,10.4
81,36.4,96.4,1.5
91,36.9,95.6,16.1
94,36.5,99.3,1.6
112,36.1,97.1,3.4
105,36.3,95.3,8.9
84,36.2,97.1,0
102,36.4,99.9,0.8
105,36.1,97.2,1.1
108,36.7,97.4,13.6
98,36.3,95.8,5.8
97,36.3,97.7,1.7
95,36.5,96.1,8.3
92,36.3,96.3,3
86,35.8,92.5,0
86,36.5,98.9,0
80,36.5,95.4,5.2
77,36.5,95.5,4.1
84,36.9,98.6,8
87,36.6,96.2,7.7
91,36.9,97.3,12.7
87,36.5,97,4.1
91,36.4,98.2,0.9
76,36.8,96.7,7.4
83,36.3,99.7,0
91,36.4,99.8,0
94,36.7,96.3,11.6
82,36.4,98.1,0
95,36.2,95.2,4.1
